id;Описание;Размер;запас;запас;Артикул белого;Цена белого;из текст;запас;Артикул серого;Цена серого;из текст;запас;Артикул серого;Цена серого;из текст;запас
89;Полка для обуви;903х404 мм;;;L9443WH;1030;белая;;L9443GA;1030;серая;;L9443BL;1030;черная;
90;Выдвижная;410х555 мм;;;L9444WH;785;белая;;L9444GA;785;серая;;L9444BL;785;черная;
93;Мелкосет. корзина;555х410х85 мм;;;L9559WH(N);690;белая;;L9559GA(N);690;серая;;L9559BL(N);690;черная;
95;Корзина на трении;590х424х100 мм;;;L9539WH;540;белая;;L9539GA;540;серая;;L9539BL;540;черная;
96;Соединитель для перекладины;38х27х27 мм;;;L9703;75;черный;;L9703;75;черный;;L9703;75;черный;
98;Рама. 3 уровня;565х435х350 мм;;;LWS3FWH(N);1200;белая;;LWS3FGA(N);1200;серая;;LWS3FBL(N);1200;черная;
100;Мелкосет. корзина;555х410х185 мм;;;L9560WH(N);1150;белая;;L9560GA(N);1150;серая;;L9560BL(N);1150;черная;
107;Крепление для ЛДСП полки;80x70x15;;;L9706WH;150;белое;;L9706GA;150;серое;;L9706BL;150;черное;
108;Декоративная заглушка;421х17х8 мм;;;L6176WH;115;белая;;L6176GA;115;серая;;L6176BL;115;черная;
109;Декоративная заглушка;321х17х8 мм;;;L6175WH;105;белая;;L6175GA;105;серая;;L6175BL;105;черная;
110;Ограничители для корзин;30x37x12 мм;;;L6172;90;красный;;L6172;90;красный;;L6172;90;красный;
166;Соединители для стойки;113х13х12 мм;;;L9711WH;90;белый;;L9711GA;90;серый;;L9711BL;90;черный;
